housing_status,n_with_housing,fraud_count_with_housing,legitimate_count_with_housing,fraud_rate_with_housing,alert_count_with_housing,alert_rate_with_housing,precision_with_housing,recall_tpr_with_housing,fpr_with_housing,fnr_with_housing,tn_with_housing,fp_with_housing,fn_with_housing,tp_with_housing,small_group_warning_with_housing,model_with_housing,model_family,feature_policy_with_housing,split,threshold_policy,threshold_with_housing,n_without_housing,fraud_count_without_housing,legitimate_count_without_housing,fraud_rate_without_housing,alert_count_without_housing,alert_rate_without_housing,precision_without_housing,recall_tpr_without_housing,fpr_without_housing,fnr_without_housing,tn_without_housing,fp_without_housing,fn_without_housing,tp_without_housing,small_group_warning_without_housing,model_without_housing,feature_policy_without_housing,threshold_without_housing,alert_rate_delta_with_minus_without,precision_delta_with_minus_without,recall_tpr_delta_with_minus_without,fpr_delta_with_minus_without,fnr_delta_with_minus_without
BG,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,CatBoost | without_housing_status,without_housing_status,0.5,0.0,,,0.0,
BC,37502,266,37236,0.007092955042397739,441,0.011759372833448883,0.15192743764172337,0.2518796992481203,0.010044043398861316,0.7481203007518797,36862,374,199,67,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,37502,266,37236,0.007092955042397739,706,0.018825662631326328,0.11331444759206799,0.3007518796992481,0.016811687614136858,0.6992481203007519,36610,626,186,80,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.007066289797877445,0.03861299004965538,-0.04887218045112779,-0.006767644215275542,0.048872180451127845
BB,23213,166,23047,0.007151165295308663,371,0.015982423641924783,0.1320754716981132,0.29518072289156627,0.0139714496463748,0.7048192771084337,22725,322,117,49,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,23213,166,23047,0.007151165295308663,672,0.02894929565329772,0.09523809523809523,0.3855421686746988,0.026380873866446827,0.6144578313253012,22439,608,102,64,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.012966872011372938,0.03683737646001797,-0.09036144578313254,-0.012409424220072027,0.09036144578313254
BA,19182,899,18283,0.04686685434261287,3480,0.18142008132624335,0.16551724137931034,0.6407119021134594,0.15883607723021387,0.3592880978865406,15379,2904,323,576,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,19182,899,18283,0.04686685434261287,2401,0.12516942967365238,0.20366513952519782,0.5439377085650723,0.10457802330033364,0.4560622914349277,16371,1912,410,489,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.056250651652590966,-0.03814789814588748,0.09677419354838712,0.05425805392988023,-0.09677419354838712
BE,12327,54,12273,0.004380627889997567,53,0.004299505151293907,0.1320754716981132,0.12962962962962962,0.0037480648578179744,0.8703703703703703,12227,46,47,7,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,12327,54,12273,0.004380627889997567,198,0.01606230226332441,0.03535353535353535,0.12962962962962962,0.015562617127026807,0.8703703703703703,12082,191,47,7,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.011762797112030505,0.09672193634457785,0.0,-0.011814552269208831,0.0
BD,4478,42,4436,0.009379187137114784,131,0.02925413130861992,0.1297709923664122,0.40476190476190477,0.02569882777276826,0.5952380952380952,4322,114,25,17,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,4478,42,4436,0.009379187137114784,149,0.03327378293881197,0.11409395973154363,0.40476190476190477,0.029756537421100092,0.5952380952380952,4304,132,25,17,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.004019651630192047,0.015677032634868582,0.0,-0.004057709648331832,0.0
BF,135,1,134,0.007407407407407408,2,0.014814814814814815,0.5,1.0,0.007462686567164179,0.0,133,1,0,1,True,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,135,1,134,0.007407407407407408,1,0.007407407407407408,1.0,1.0,0.0,0.0,134,0,0,1,True,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.007407407407407408,-0.5,0.0,0.007462686567164179,0.0
BG,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,test,valid_global_5pct_fpr,0.7584774474715957,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.0,,,0.0,
BB,33162,222,32940,0.006694409263614981,6,0.0001809299800977022,0.5,0.013513513513513514,9.107468123861566e-05,0.9864864864864865,32937,3,219,3,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,33162,222,32940,0.006694409263614981,34,0.0010252698872203125,0.29411764705882354,0.04504504504504504,0.0007285974499089253,0.954954954954955,32916,24,212,10,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0008443399071226103,0.20588235294117646,-0.03153153153153153,-0.0006375227686703097,0.03153153153153154
BC,32762,229,32533,0.006989805262194005,5,0.00015261583541908308,0.4,0.008733624454148471,9.221405957028249e-05,0.9912663755458515,32530,3,227,2,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,default_0_50,0.5,32762,229,32533,0.006989805262194005,34,0.0010377876808497649,0.3235294117647059,0.048034934497816595,0.000706974456705499,0.9519650655021834,32510,23,218,11,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0008851718454306818,0.07647058823529412,-0.039301310043668124,-0.0006147603971352165,0.0393013100436681
