model,split,topk_pct,topk_label,k,precision_at_k,fdr_at_k,recall_at_k,lift_at_k,fp_per_tp_at_k,fraud_prevalence,captured_frauds
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,validation,0.1,top_10.0pct,10817,0.08810206156975131,0.9118979384302487,0.6572413793103449,6.572292273018523,10.350472193074502,0.013405073589231566,953
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,test,0.005,top_0.5pct,485,0.3752577319587629,0.6247422680412371,0.12745098039215685,25.448938750758035,1.664835164835165,0.014745515938167962,182
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,test,0.01,top_1.0pct,969,0.32094943240454077,0.6790505675954592,0.21778711484593838,21.765900477838194,2.1157556270096465,0.014745515938167962,311
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,test,0.02,top_2.0pct,1937,0.24574083634486318,0.7542591636551368,0.3333333333333333,16.6654620547238,3.069327731092437,0.014745515938167962,476
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,test,0.05,top_5.0pct,4843,0.16105719595292176,0.8389428040470782,0.5462184873949579,10.922452400328293,5.208974358974359,0.014745515938167962,780
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,test,0.1,top_10.0pct,9685,0.10056788848735157,0.8994321115126485,0.6820728291316527,6.820235311471,8.9435318275154,0.014745515938167962,974
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,validation,0.005,top_0.5pct,541,0.3345656192236599,0.6654343807763401,0.12482758620689655,24.95813372426541,1.988950276243094,0.013405073589231566,181
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,validation,0.01,top_1.0pct,1082,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,0.013405073589231566,298
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,validation,0.02,top_2.0pct,2164,0.2111829944547135,0.7888170055452866,0.31517241379310346,15.753960099432723,3.735229759299781,0.013405073589231566,457
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,validation,0.05,top_5.0pct,5409,0.1301534479571085,0.8698465520428915,0.48551724137931035,9.709267695603112,6.683238636363637,0.013405073589231566,704
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,validation,0.1,top_10.0pct,10817,0.08856429694000185,0.9114357030599981,0.6606896551724138,6.606774394073186,10.291231732776618,0.013405073589231566,958
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,test,0.005,top_0.5pct,485,0.38969072164948454,0.6103092783505155,0.1323529411764706,26.427744087325653,1.566137566137566,0.014745515938167962,189
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,test,0.01,top_1.0pct,969,0.30856553147574817,0.6914344685242518,0.20938375350140057,20.92605865875762,2.240802675585284,0.014745515938167962,299
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,test,0.02,top_2.0pct,1937,0.2447083118224058,0.7552916881775942,0.3319327731092437,16.595439104914036,3.086497890295359,0.014745515938167962,474
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,test,0.05,top_5.0pct,4843,0.15878587652281645,0.8412141234771835,0.538515406162465,10.768417815195457,5.29778933680104,0.014745515938167962,769
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,test,0.1,top_10.0pct,9685,0.10108415074858028,0.8989158492514198,0.6855742296918768,6.855246786375883,8.892747701736466,0.014745515938167962,979
advanced_gate | XGBoost,validation,0.005,top_0.5pct,541,0.3345656192236599,0.6654343807763401,0.12482758620689655,24.95813372426541,1.988950276243094,0.013405073589231566,181
advanced_gate | XGBoost,validation,0.01,top_1.0pct,1082,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,0.013405073589231566,298
advanced_gate | XGBoost,validation,0.02,top_2.0pct,2164,0.2111829944547135,0.7888170055452866,0.31517241379310346,15.753960099432723,3.735229759299781,0.013405073589231566,457
advanced_gate | XGBoost,validation,0.05,top_5.0pct,5409,0.1301534479571085,0.8698465520428915,0.48551724137931035,9.709267695603112,6.683238636363637,0.013405073589231566,704
