model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,high_0.7_0.9,64414,0.01797745831651504,0.0626106125997454,0.15943466402182,0.84056533597818,0.5552677029360967,0.44473229706390327,0.05359175414189958,0.9464082458581005,643,3390,515,59866
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,low_0.1_0.3,20645,0.007217243884717849,0.017147008961007508,0.16666666666666666,0.8333333333333334,0.3959731543624161,0.6040268456375839,0.014393052302888369,0.9856069476971117,59,295,90,20201
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,mid_0.4_0.6,11784,0.01026816021724372,0.025118805159538356,0.17905405405405406,0.8209459459459459,0.4380165289256198,0.5619834710743802,0.020835119609019976,0.97916488039098,53,243,68,11420
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BA,19182,0.04686685434261287,0.0009383797309978105,0.8888888888888888,0.11111111111111116,0.017797552836484983,0.982202447163515,0.00010939123776185527,0.9998906087622381,16,2,883,18281
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BB,23213,0.007151165295308663,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,166,23047
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BC,37502,0.007092955042397739,5.33304890405845e-05,0.5,0.5,0.0037593984962406013,0.9962406015037594,2.6855731012998174e-05,0.999973144268987,1,1,265,37235
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BD,4478,0.009379187137114784,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,42,4436
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BE,12327,0.004380627889997567,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,54,12273
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BF,135,0.007407407407407408,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,134
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BG,6,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0,0,0,6
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CA,74882,0.01595844128094869,0.0002537325391950001,0.8421052631578947,0.1578947368421053,0.013389121338912133,0.9866108786610879,4.071274444610311e-05,0.9999592872555539,16,3,1179,73684
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CB,11275,0.010199556541019957,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,115,11160
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CC,2265,0.03708609271523179,0.0004415011037527594,1.0,0.0,0.011904761904761904,0.9880952380952381,0.0,1.0,1,0,83,2181
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CD,2513,0.00477516912057302,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,12,2501
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CE,2252,0.003996447602131439,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,9,2243
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CF,3618,0.0030403537866224434,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,11,3607
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CG,38,0.05263157894736842,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,2,36
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,10-20,23953,0.007055483655492005,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,169,23784
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,21-30,32363,0.012514291011340111,0.00012359793591447022,0.75,0.25,0.007407407407407408,0.9925925925925926,3.129106952875649e-05,0.9999687089304713,3,1,402,31957
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,31-40,27860,0.01564967695620962,0.00014357501794687725,1.0,0.0,0.009174311926605505,0.9908256880733946,0.0,1.0,4,0,432,27424
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,41-50,9725,0.026323907455012854,0.0006169665809768638,0.8333333333333334,0.16666666666666663,0.01953125,0.98046875,0.00010560777273207308,0.999894392227268,5,1,251,9468
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,customer_age_group,51+,2942,0.055064581917063225,0.0020394289598912306,0.8333333333333334,0.16666666666666663,0.030864197530864196,0.9691358024691358,0.00035971223021582735,0.9996402877697842,5,1,157,2779
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,income_group,high_0.7_0.9,64414,0.01797745831651504,0.0002949669326543919,0.8421052631578947,0.1578947368421053,0.013816925734024179,0.9861830742659758,4.7426331099026176e-05,0.999952573668901,16,3,1142,63253
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,income_group,low_0.1_0.3,20645,0.007217243884717849,4.843787842092516e-05,1.0,0.0,0.006711409395973154,0.9932885906040269,0.0,1.0,1,0,148,20496
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_business_fdr30,income_group,mid_0.4_0.6,11784,0.01026816021724372,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,121,11663
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BA,19182,0.04686685434261287,0.10301324158064852,0.2257085020242915,0.7742914979757085,0.4961067853170189,0.5038932146829811,0.08368429688781928,0.9163157031121807,446,1530,453,16753
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BB,23213,0.007151165295308663,0.0050833584629302545,0.2542372881355932,0.7457627118644068,0.18072289156626506,0.8192771084337349,0.0038182843754067776,0.9961817156245932,30,88,136,22959
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BC,37502,0.007092955042397739,0.003519812276678577,0.25757575757575757,0.7424242424242424,0.12781954887218044,0.8721804511278195,0.002631861639273821,0.9973681383607261,34,98,232,37138
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BD,4478,0.009379187137114784,0.007146047342563644,0.28125,0.71875,0.21428571428571427,0.7857142857142857,0.005184851217312894,0.9948151487826871,9,23,33,4413
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BE,12327,0.004380627889997567,0.0012168410805548796,0.06666666666666667,0.9333333333333333,0.018518518518518517,0.9814814814814815,0.0011407153915098183,0.9988592846084902,1,14,53,12259
