model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.7777463070948167,0.148645877817354,0.8765210212412862,11.088777456377624,0.1794917462859498,0.8815038125505402,12.172632482892327,
anomaly_recency_gate | Random Forest | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.5940478512280815,0.1482143748124379,0.8779581313561813,11.05658792738744,0.1751598657078017,0.8783578987325162,11.878856354860396,
anomaly_recency_gate | Random Forest | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.6255552021253651,0.1479442068989545,0.874218071346268,11.036433773686973,0.1718708693466127,0.8756327621443168,11.655805742390768,
anomaly_recency_gate | Random Forest | full_0_5_recency_weighted | with_isolation_forest_anomaly_score,anomaly_recency_gate,Random Forest,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_isolation_forest_anomaly_score,0.6293767473067431,0.1462614539738564,0.8765646941891971,10.910902726513177,0.1730069825037992,0.8754666442377401,11.732853786145258,
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.7943308396838724,0.1444722855597812,0.8748300483840428,10.777433230641664,0.1768886714792243,0.8789342546220397,11.996099168111009,
balance_gate | Random Forest | smote,balance_gate,Random Forest,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.4056764322138482,0.1306343616053286,0.8719918980800834,9.745143190431168,0.1523764869687469,0.8732518464599066,10.33375078957588,
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,0.6997146023667044,0.1285225797814798,0.8637468293814636,9.587607179174558,0.1448461791906538,0.8687931578856979,9.823066198431718,6.812039613723755
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.7899912468083704,0.116683083109963,0.8537636316402042,8.704397057819643,0.133520196787268,0.8586042015192075,9.054969480020588,11.267109155654907
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8320181487406233,0.0996720655695778,0.8143729590910236,7.435398612779379,0.115934669774673,0.8261237618770193,7.862367804613905,25.767069101333615
balance_gate | Decision Tree | random_undersampling,balance_gate,Decision Tree,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.8401253918495298,0.0956435551367455,0.8431975215375878,7.134877291056197,0.1109637729978937,0.8409482988290427,7.5252553700525375,
balance_gate | Decision Tree | random_oversampling,balance_gate,Decision Tree,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.8468932666206346,0.0912637212746515,0.8290295467719953,6.8081477260941465,0.1120455079784019,0.8328296219184629,7.5986156366613296,
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.8371008459922289,0.0884634855621529,0.8310365733473526,6.599254004335831,0.1105641379284176,0.8399135444147791,7.498153227872373,33.819215536117554
balance_gate | Decision Tree | class_weight,balance_gate,Decision Tree,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.8371008459922289,0.0884634855621529,0.8310365733473526,6.599254004335831,0.1105641379284176,0.8399135444147791,7.498153227872373,
balance_gate | Decision Tree | smote,balance_gate,Decision Tree,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.5426567408734464,0.0736582184335605,0.822620561053269,5.494801497600948,0.0991010579745312,0.8345094721848284,6.72075893377278,
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,0.6469931123133273,0.0211388885722175,0.4595041911941947,1.5769319303997458,0.0337216582511715,0.4746365831350618,2.286909348752245,8.368449449539185
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.6579119809738087,0.0161032272573849,0.4561799386200563,1.201278542052975,0.0187881393538334,0.4532983475840685,1.2741595094140696,7.326128005981445
