model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.04433497536945813,0.5294117647058824,0.1573398215733982,0.05956948673938005,0.7436548828777253,2078,388,16,18
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7570113565290331,0.10218978102189781,0.4117647058823529,0.049878345498783457,0.05956948673938005,0.7436548828777253,2343,123,20,14
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.07894736842105263,0.4864864864864865,0.08526187576126674,0.10255815531007396,0.8277973466767621,2253,210,19,18
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7570113565290331,0.0821917808219178,0.16216216216216217,0.027202598457166056,0.10255815531007396,0.8277973466767621,2396,67,31,6
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0975609756097561,0.11764705882352941,0.015004055150040552,0.06093172203429773,0.7550450837269214,2429,37,30,4
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.4002604119337899,0.072,0.2647058823529412,0.047039740470397405,0.06093172203429773,0.7550450837269214,2350,116,25,9
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.2608695652173913,0.16216216216216217,0.006902151847340642,0.1056354843545991,0.7789555694549605,2446,17,31,6
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.4002604119337899,0.11842105263157894,0.24324324324324326,0.027202598457166056,0.1056354843545991,0.7789555694549605,2396,67,28,9
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,0.04433497536945813,0.5294117647058824,0.1573398215733982,0.05956948673938005,0.7436548828777253,2078,388,16,18
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7570113565290331,0.10218978102189781,0.4117647058823529,0.049878345498783457,0.05956948673938005,0.7436548828777253,2343,123,20,14
