precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp,variant,model,split,source,balancing,validation_threshold_for_5pct_fpr,test_at_valid_5pct_fpr_precision,test_at_valid_5pct_fpr_recall_tpr,test_at_valid_5pct_fpr_fpr,test_at_valid_5pct_fpr_pr_auc,test_at_valid_5pct_fpr_roc_auc,test_at_valid_5pct_fpr_tn,test_at_valid_5pct_fpr_fp,test_at_valid_5pct_fpr_fn,test_at_valid_5pct_fpr_tp,model_family,feature_policy,threshold_policy,threshold
0.0648820833799038,0.8130252100840336,0.1753707488340407,0.2076813293879613,0.8932685991652859,78682,16733,267,1161,,Stacking XGB + LGBM + Logistic target/frequency,test,advanced,,0.8688759553277374,0.1637089618456078,0.5168067226890757,0.0395116071896452,0.2076813293879613,0.8932685991652859,91645.0,3770.0,690.0,738.0,,,,
0.0768113837665166,0.7408963585434174,0.133270450138867,0.205903339389749,0.8896442284926338,82699,12716,370,1058,,CatBoost native categoricals + advanced features + standard logloss,test,advanced,,0.7584774474715957,0.1601161232693166,0.5021008403361344,0.0394172823979458,0.205903339389749,0.8896442284926338,91654.0,3761.0,711.0,717.0,,,,
0.0739962018448182,0.7640056022408963,0.1430907090080176,0.2035236760939033,0.8915237886801736,81762,13653,337,1091,,XGBoost target/frequency + advanced features + standard logloss,test,advanced,,0.7750247120857239,0.1577037985488689,0.5175070028011205,0.0413666614264004,0.2035236760939033,0.8915237886801736,91468.0,3947.0,689.0,739.0,,,,
0.0703139806683934,0.7794117647058824,0.15423151496096,0.2030692665142672,0.8924160027161311,80699,14716,315,1113,,XGBoost one-hot + advanced features + standard logloss,test,advanced,,0.7750608325004578,0.1538302277432712,0.5203081232492998,0.0428339359639469,0.2030692665142672,0.8924160027161311,91328.0,4087.0,685.0,743.0,,,,
0.0639736477115117,0.7752100840336135,0.1697531834617198,0.1994954286171539,0.8854081044459917,79218,16197,321,1107,,LightGBM target/frequency + advanced features + standard logloss,test,advanced,,0.8079895232244311,0.1484218937275269,0.5203081232492998,0.0446785096682911,0.1994954286171539,0.8854081044459917,91152.0,4263.0,685.0,743.0,,,,
0.0747869318181818,0.7373949579831933,0.1365298957187025,0.187209303970962,0.8873031799315125,82388,13027,375,1053,,Logistic target/frequency + advanced features + standard logloss,test,advanced,,0.7950065179707855,0.1649175412293853,0.4621848739495798,0.0350259393177173,0.187209303970962,0.8873031799315125,92073.0,3342.0,768.0,660.0,,,,
0.0609729374383696,0.7675862068965518,0.1606195768286512,0.1763749363097904,0.8869743461821068,89577,17141,337,1113,,CatBoost | with_housing_status,validation,fairness_housing,,,,,,,,,,,,CatBoost,with_housing_status,default_0_50,0.5
0.1236435383097665,0.5186206896551724,0.0499447141063363,0.1763749363097904,0.8869743461821068,101388,5330,698,752,,CatBoost | with_housing_status,validation,fairness_housing,,,,,,,,,,,,CatBoost,with_housing_status,valid_global_5pct_fpr,0.7584774474715957
0.0768113837665166,0.7408963585434174,0.133270450138867,0.205903339389749,0.8896442284926338,82699,12716,370,1058,,CatBoost | with_housing_status,test,fairness_housing,,,,,,,,,,,,CatBoost,with_housing_status,default_0_50,0.5
0.1601161232693166,0.5021008403361344,0.0394172823979458,0.205903339389749,0.8896442284926338,91654,3761,711,717,,CatBoost | with_housing_status,test,fairness_housing,,,,,,,,,,,,CatBoost,with_housing_status,valid_global_5pct_fpr,0.7584774474715957
